2018, 2020, Hartekamp Groep, (Leerling-)Begeleider Wonen Gehandicaptenzorg
2016, 2018, Koninklijke Nederlandse Redding Maatschappij, Linux Systeem- en Applicatiebeheerder
2012, 2016, Proxy BV, UNIX Consultancy, UNIX/Linux systems consultant
2011, 2012, ONVZ Zorgverzekeraar, Applicatiebeheerder
2008, 2011, ONVZ Zorgverzekeraar, Red Hat Linux Systembeheerder
2007, 2008, Schuberg Philis, Mission Critical Engineer
2005, 2007, Shell, Linux Project Engineer
2004, 2005, Sun Microsystems, Desktop Solutions Architect (CNE regio)
2001, 2004, Sun Microsystems, Technical Consultant Professional Services
2000, 2001, Snow UNIX Consultancy, UNIX/Linux Consultant
1998, 2000, VNU, Webmaster
1996, 1998, Media@vantage, HTML programmeur
1995, 1996, Planet Internet, Helpdesk
